seqLen,predLen,modelName,modelType,seed,mse,mae
96,96,CycleNet,mlp,seed1024,0.13551990687847137,0.22936441004276276
96,192,CycleNet,mlp,seed1024,0.15331174433231354,0.24642391502857208
96,336,CycleNet,mlp,seed1024,0.17162729799747467,0.2657650113105774
96,720,CycleNet,mlp,seed1024,0.2173415571451187,0.30416956543922424
192,96,CycleNet,mlp,seed1024,0.1283119022846222,0.22270703315734863
192,192,CycleNet,mlp,seed1024,0.14865849912166595,0.2424168437719345
192,336,CycleNet,mlp,seed1024,0.1656898707151413,0.2604844272136688
192,720,CycleNet,mlp,seed1024,0.20489497482776642,0.29715150594711304
336,96,CycleNet,mlp,seed1024,0.12985382974147797,0.22403086721897125
336,192,CycleNet,mlp,seed1024,0.14743877947330475,0.2420307695865631
336,336,CycleNet,mlp,seed1024,0.16578520834445953,0.26197388768196106
336,720,CycleNet,mlp,seed1024,0.20256294310092926,0.29678279161453247
720,96,CycleNet,mlp,seed1024,0.12981578707695007,0.22635844349861145
720,192,CycleNet,mlp,seed1024,0.1476621776819229,0.24421490728855133
720,336,CycleNet,mlp,seed1024,0.16273973882198334,0.26121705770492554
720,720,CycleNet,mlp,seed1024,0.20186930894851685,0.2981753945350647
96,96,CycleNetQM,mlp,seed1024,0.1377354860305786,0.2312936633825302
96,192,CycleNetQM,mlp,seed1024,0.1537850946187973,0.24622344970703125
96,336,CycleNetQM,mlp,seed1024,0.17094695568084717,0.2638360559940338
96,720,CycleNetQM,mlp,seed1024,0.2082071751356125,0.2959462106227875
192,96,CycleNetQM,mlp,seed1024,0.12999580800533295,0.22385439276695251
192,192,CycleNetQM,mlp,seed1024,0.14697398245334625,0.23995116353034973
192,336,CycleNetQM,mlp,seed1024,0.16444365680217743,0.25786611437797546
192,720,CycleNetQM,mlp,seed1024,0.20319823920726776,0.292237251996994
336,96,CycleNetQM,mlp,seed1024,0.1289767324924469,0.22316285967826843
336,192,CycleNetQM,mlp,seed1024,0.14730767905712128,0.2425501048564911
336,336,CycleNetQM,mlp,seed1024,0.16219373047351837,0.2571551203727722
336,720,CycleNetQM,mlp,seed1024,0.20138627290725708,0.2910800278186798
720,96,CycleNetQM,mlp,seed1024,0.12988503277301788,0.22530655562877655
720,192,CycleNetQM,mlp,seed1024,0.14643613994121552,0.2409244179725647
720,336,CycleNetQM,mlp,seed1024,0.16257260739803314,0.2582683861255646
720,720,CycleNetQM,mlp,seed1024,0.19872641563415527,0.2921578884124756
96,192,Linear,linear,seed1024,0.19634117186069489,0.2843782901763916
96,96,Linear,linear,seed1024,0.19705885648727417,0.2815260589122772
96,336,Linear,linear,seed1024,0.2096031755208969,0.3002549707889557
96,720,Linear,linear,seed1024,0.24476785957813263,0.33261460065841675
192,192,Linear,linear,seed1024,0.16510659456253052,0.2613368034362793
192,96,Linear,linear,seed1024,0.15340763330459595,0.24988579750061035
192,336,Linear,linear,seed1024,0.18102556467056274,0.27915242314338684
192,720,Linear,linear,seed1024,0.21537916362285614,0.3115008473396301
336,192,Linear,linear,seed1024,0.1549462229013443,0.25228145718574524
336,96,Linear,linear,seed1024,0.1414787918329239,0.239480659365654
336,336,Linear,linear,seed1024,0.170430526137352,0.26942887902259827
336,720,Linear,linear,seed1024,0.20495940744876862,0.30259236693382263
720,192,Linear,linear,seed1024,0.1482013612985611,0.24544015526771545
720,96,Linear,linear,seed1024,0.13370977342128754,0.2312442511320114
720,336,Linear,linear,seed1024,0.1632421612739563,0.26245713233947754
720,720,Linear,linear,seed1024,0.197729229927063,0.2956516444683075
96,96,CycleNet,mlp,seed1024,0.13551990687847137,0.22936441004276276
96,192,CycleNet,mlp,seed1024,0.15331174433231354,0.24642391502857208
96,336,CycleNet,mlp,seed1024,0.17162729799747467,0.2657650113105774
96,720,CycleNet,mlp,seed1024,0.2173415571451187,0.30416956543922424
192,96,CycleNet,mlp,seed1024,0.1283119022846222,0.22270703315734863
192,192,CycleNet,mlp,seed1024,0.14865849912166595,0.2424168437719345
192,336,CycleNet,mlp,seed1024,0.1656898707151413,0.2604844272136688
192,720,CycleNet,mlp,seed1024,0.20489497482776642,0.29715150594711304
336,96,CycleNet,mlp,seed1024,0.12985382974147797,0.22403086721897125
336,192,CycleNet,mlp,seed1024,0.14743877947330475,0.2420307695865631
336,336,CycleNet,mlp,seed1024,0.16578520834445953,0.26197388768196106
336,720,CycleNet,mlp,seed1024,0.20256294310092926,0.29678279161453247
720,96,CycleNet,mlp,seed1024,0.12981578707695007,0.22635844349861145
720,192,CycleNet,mlp,seed1024,0.1476621776819229,0.24421490728855133
720,336,CycleNet,mlp,seed1024,0.16273973882198334,0.26121705770492554
720,720,CycleNet,mlp,seed1024,0.20186930894851685,0.2981753945350647
96,96,CycleNetQM,mlp,seed1024,0.1377354860305786,0.2312936633825302
96,192,CycleNetQM,mlp,seed1024,0.1537850946187973,0.24622344970703125
96,336,CycleNetQM,mlp,seed1024,0.17094695568084717,0.2638360559940338
96,720,CycleNetQM,mlp,seed1024,0.2082071751356125,0.2959462106227875
192,96,CycleNetQM,mlp,seed1024,0.12999580800533295,0.22385439276695251
192,192,CycleNetQM,mlp,seed1024,0.14697398245334625,0.23995116353034973
192,336,CycleNetQM,mlp,seed1024,0.16444365680217743,0.25786611437797546
192,720,CycleNetQM,mlp,seed1024,0.20319823920726776,0.292237251996994
336,96,CycleNetQM,mlp,seed1024,0.1289767324924469,0.22316285967826843
336,192,CycleNetQM,mlp,seed1024,0.14730767905712128,0.2425501048564911
336,336,CycleNetQM,mlp,seed1024,0.16219373047351837,0.2571551203727722
336,720,CycleNetQM,mlp,seed1024,0.20138627290725708,0.2910800278186798
720,96,CycleNetQM,mlp,seed1024,0.12988503277301788,0.22530655562877655
720,192,CycleNetQM,mlp,seed1024,0.14643613994121552,0.2409244179725647
720,336,CycleNetQM,mlp,seed1024,0.16257260739803314,0.2582683861255646
720,720,CycleNetQM,mlp,seed1024,0.19872641563415527,0.2921578884124756
96,96,LSTM,rnn,seed1024,0.35924842953681946,0.41971567273139954
96,192,LSTM,rnn,seed1024,0.5517017245292664,0.5539455413818359
96,336,LSTM,rnn,seed1024,0.6053838729858398,0.5880115032196045
96,720,LSTM,rnn,seed1024,0.7747125625610352,0.6893671751022339
192,96,LSTM,rnn,seed1024,0.3303739130496979,0.4007846713066101
192,192,LSTM,rnn,seed1024,0.3386967182159424,0.4084591567516327
192,336,LSTM,rnn,seed1024,0.5943055152893066,0.5826271772384644
192,720,LSTM,rnn,seed1024,0.9263173937797546,0.7880778312683105
336,96,LSTM,rnn,seed1024,0.32274290919303894,0.39172372221946716
336,192,LSTM,rnn,seed1024,0.5374444723129272,0.5424753427505493
336,336,LSTM,rnn,seed1024,0.6003356575965881,0.5908440947532654
336,720,LSTM,rnn,seed1024,0.9337888360023499,0.785558819770813
720,96,LSTM,rnn,seed1024,0.36034032702445984,0.42291590571403503
720,192,LSTM,rnn,seed1024,0.5597712993621826,0.556989312171936
720,336,LSTM,rnn,seed1024,0.5988857746124268,0.5882739424705505
720,720,LSTM,rnn,seed1024,0.3841843903064728,0.4448862075805664
96,96,GRU,rnn,seed1024,0.29109102487564087,0.37108659744262695
96,192,GRU,rnn,seed1024,0.5717505812644958,0.5681779384613037
96,336,GRU,rnn,seed1024,0.6375741958618164,0.6111517548561096
96,720,GRU,rnn,seed1024,0.7645606398582458,0.6870997548103333
192,96,GRU,rnn,seed1024,0.31404295563697815,0.38978642225265503
192,192,GRU,rnn,seed1024,0.5555620789527893,0.5574401617050171
192,336,GRU,rnn,seed1024,0.6375185251235962,0.6105983257293701
192,720,GRU,rnn,seed1024,0.7288584113121033,0.6679580807685852
336,96,GRU,rnn,seed1024,0.3108726143836975,0.38183730840682983
336,192,GRU,rnn,seed1024,0.5627055764198303,0.5620478391647339
336,336,GRU,rnn,seed1024,0.6336014866828918,0.6088643074035645
336,720,GRU,rnn,seed1024,0.7282248139381409,0.6671845316886902
720,96,GRU,rnn,seed1024,0.307334303855896,0.38631337881088257
720,192,GRU,rnn,seed1024,0.5547283887863159,0.5567222237586975
720,336,GRU,rnn,seed1024,0.6216358542442322,0.6013460159301758
720,720,GRU,rnn,seed1024,0.7404915690422058,0.6747996211051941
96,96,CycleNet,linear,seed1024,0.15515311062335968,0.25214603543281555
96,192,CycleNet,linear,seed1024,0.16822652518749237,0.2629972994327545
96,336,CycleNet,linear,seed1024,0.185129314661026,0.27944037318229675
96,720,CycleNet,linear,seed1024,0.22425751388072968,0.31065818667411804
192,96,CycleNet,linear,seed1024,0.14569240808486938,0.24349944293498993
192,192,CycleNet,linear,seed1024,0.15940824151039124,0.2554539144039154
192,336,CycleNet,linear,seed1024,0.1762891411781311,0.2720714211463928
192,720,CycleNet,linear,seed1024,0.21499818563461304,0.303465336561203
336,96,CycleNet,linear,seed1024,0.13842234015464783,0.23671704530715942
336,192,CycleNet,linear,seed1024,0.153073251247406,0.24948722124099731
336,336,CycleNet,linear,seed1024,0.169661745429039,0.2659042477607727
336,720,CycleNet,linear,seed1024,0.20807568728923798,0.2977242171764374
720,96,CycleNet,linear,seed1024,0.1343320906162262,0.23178339004516602
720,192,CycleNet,linear,seed1024,0.14937902987003326,0.2452538162469864
720,336,CycleNet,linear,seed1024,0.16554298996925354,0.261480450630188
720,720,CycleNet,linear,seed1024,0.20471781492233276,0.29427671432495117
